x,y,RockType
3.962784,45.179533,Mafic
3.963621,45.173771,Mafic
3.9651,45.173001,Mafic
3.97905,45.176695,Mafic
3.957601,45.169017,Mafic
3.97693,45.167691,Mafic
3.973583,45.163497,Mafic
4.007367,45.174293,Felsic
4.003405,45.169774,Felsic
4.018834,45.173484,Felsic
4.030981,45.16846,Felsic
4.054968,45.174957,Other
4.046121,45.166346,Other
4.003646,45.153552,Felsic
4.021078,45.160271,Mafic
4.03234,45.1587,Felsic
4.031261,45.155884,Mafic
4.019177,45.153271,Mafic
4.048145,45.153753,Mafic
4.06008,45.163867,Other
4.084344,45.163872,Mafic
4.112582,45.17122,Other
4.122218,45.160955,Mafic
4.109663,45.158459,Other
4.101589,45.152158,Other
4.195705,45.145741,Mafic
4.136666,45.138578,Mafic
4.130479,45.143561,Mafic
4.064166,45.146331,Felsic
4.065135,45.130865,Mafic
4.064241,45.13547,Mafic
4.069018,45.141023,Felsic
4.053706,45.136225,Felsic
4.05555,45.132386,Felsic
4.053391,45.137241,Mafic
4.085661,45.137507,Other
4.095215,45.138523,Mafic
4.09679,45.139982,Mafic
4.03887,45.147179,Mafic
4.029233,45.150204,Mafic
4.024316,45.146526,Mafic
4.034028,45.135976,Mafic
4.034211,45.139913,Mafic
4.011849,45.136177,Mafic
3.981772,45.142409,Mafic
3.966277,45.143858,Mafic
3.963342,45.152328,Mafic
3.977605,45.148975,Mafic
3.97731,45.133842,Mafic
4.003624,45.128232,Mafic
4.053058,45.115672,Felsic
4.046231,45.113348,Felsic
4.042276,45.12101,Mafic
4.01357,45.114145,Mafic
3.960829,45.110675,Mafic
4.062368,45.12676,Mafic
4.030383,45.121113,Mafic
4.03061,45.119625,Mafic
4.034157,45.126269,Mafic
4.03511,45.124697,Mafic
4.008079,45.119633,Mafic
4.068587,45.128442,Mafic
4.070284,45.128549,Mafic
4.070699,45.127139,Mafic
4.072509,45.126873,Mafic
4.071604,45.124984,Mafic
4.073791,45.122696,Mafic
4.078248,45.120237,Felsic
4.083938,45.115896,Felsic
4.082795,45.115599,Mafic
4.079495,45.108226,Mafic
4.067822,45.11114,Mafic
4.049492,45.102567,Felsic
4.061957,45.093176,Felsic
4.074465,45.100023,Felsic
4.0325,45.098018,Felsic
4.035203,45.095174,Felsic
4.045697,45.095511,Mafic
4.020236,45.101452,Felsic
4.032388,45.111201,Mafic
4.031166,45.11022,Mafic
4.035254,45.11016,Mafic
4.030779,45.103368,Mafic
4.038869,45.105777,Mafic
4.035287,45.10197,Mafic
4.021323,45.097002,Felsic
4.016123,45.098371,Mafic
4.027812,45.102047,Mafic
4.113722,45.124634,Mafic
4.099192,45.125281,Mafic
4.105749,45.116762,Felsic
4.109022,45.113257,Felsic
4.101141,45.114163,Felsic
4.104562,45.119509,Mafic
4.089,45.097549,Felsic
4.106744,45.105513,Felsic
4.127475,45.10718,Felsic
4.12743,45.097043,Felsic
4.1187,45.094193,Felsic
4.083428,45.087972,Felsic
4.070554,45.088461,Felsic
4.090396,45.081881,Felsic
4.119557,45.088673,Felsic
4.125705,45.085872,Felsic
4.125164,45.082104,Felsic
4.107426,45.088631,Felsic
4.07798,45.09711,Felsic
4.084068,45.092547,Felsic
4.082489,45.098489,Felsic
4.105036,45.098436,Felsic
4.053613,45.083085,Other
4.064285,45.082714,Felsic
4.063308,45.086322,Felsic
4.06917,45.079583,Felsic
4.058708,45.070868,Felsic
4.063894,45.076229,Felsic
4.082684,45.074955,Felsic
4.082518,45.071717,Felsic
4.045376,45.067271,Mafic
4.044555,45.068948,Mafic
4.045626,45.071596,Mafic
4.044468,45.073252,Mafic
4.046439,45.073707,Mafic
4.037748,45.069855,Felsic
4.043329,45.08191,Felsic
4.018803,45.069744,Felsic
3.991561,45.068699,Mafic
3.97678,45.07551,Mafic
3.974246,45.077085,Mafic
3.983486,45.08327,Mafic
3.977909,45.081678,Mafic
3.989311,45.087354,Felsic
3.996501,45.079735,Felsic
3.973705,45.081353,Other
4.004432,45.089034,Felsic
4.01568,45.085977,Felsic
4.006385,45.099327,Mafic
3.981549,45.099282,Mafic
3.980534,45.103723,Mafic
3.959668,45.096523,Felsic
3.98382,45.106889,Felsic
4.172303,45.135007,Felsic
4.204237,45.11541,Felsic
4.165608,45.108413,Felsic
4.147903,45.113705,Felsic
4.148298,45.104377,Felsic
4.159317,45.120004,Mafic
4.20491,45.112565,Mafic
4.160031,45.103602,Mafic
4.1722,45.080846,Felsic
4.167674,45.092708,Felsic
4.196763,45.080698,Felsic
4.132691,45.084878,Felsic
4.137228,45.078721,Felsic
4.195578,45.061637,Felsic
4.147201,45.058288,Felsic
4.14273,45.062666,Felsic
4.134429,45.068274,Felsic
4.130793,45.054832,Felsic
4.165434,45.050441,Felsic
4.120296,45.052128,Felsic
4.119819,45.066857,Felsic
4.115116,45.072937,Felsic
4.117641,45.079617,Felsic
4.107525,45.081955,Felsic
4.106262,45.080426,Felsic
4.101029,45.076668,Felsic
4.096111,45.070056,Felsic
4.109988,45.068527,Felsic
4.134114,45.076938,Mafic
4.085107,45.058641,Felsic
4.09641,45.056669,Felsic
4.111831,45.05869,Felsic
4.065695,45.048674,Felsic
4.097541,45.049236,Felsic
4.112202,45.049601,Felsic
4.135254,45.048797,Felsic
4.115153,45.037966,Felsic
4.1284,45.043721,Felsic
4.131229,45.041157,Felsic
4.127871,45.038644,Felsic
4.142105,45.038242,Felsic
4.094495,45.035971,Mafic
4.084713,45.038629,Mafic
4.07695,45.029442,Mafic
4.067418,45.03156,Mafic
4.094495,45.043883,Felsic
4.059778,45.053065,Felsic
4.052248,45.05554,Mafic
4.032379,45.053519,Felsic
4.032204,45.048529,Felsic
4.045979,45.045601,Felsic
4.051933,45.061543,Mafic
4.007268,45.052059,Mafic
4.004057,45.053214,Mafic
4.022768,45.033947,Mafic
4.026066,45.037505,Mafic
4.000441,45.024039,Mafic
3.992842,45.024148,Mafic
3.981175,45.022006,Mafic
3.977782,45.023159,Mafic
3.982288,45.026762,Mafic
3.980193,45.01908,Mafic
3.982643,45.017963,Mafic
3.967075,45.008611,Mafic
3.977659,45.001546,Mafic
3.978845,45.004425,Felsic
4.039814,45.008692,Mafic
4.042541,45.006848,Mafic
4.055528,45.011715,Mafic
4.069116,45.015085,Felsic
4.077819,45.021002,Felsic
4.082546,45.027238,Mafic
4.090412,45.027182,Mafic
4.088918,45.033154,Mafic
4.086046,45.020528,Mafic
4.090085,45.013415,Mafic
4.08388,45.015008,Felsic
4.098643,45.014035,Felsic
4.115438,45.021226,Felsic
4.112923,45.024274,Felsic
4.148219,45.023998,Felsic
4.123344,45.02283,Mafic
4.128631,45.022758,Mafic
4.125705,45.02468,Felsic
4.12473,45.025987,Felsic
4.109299,45.03248,Felsic
4.112071,45.030558,Felsic
4.126157,45.017039,Felsic
4.136088,45.016006,Felsic
4.14077,45.015809,Felsic
4.182366,45.002303,Felsic
4.175957,45.005534,Felsic
4.240764,45.030248,Felsic
4.255787,45.025306,Mafic
4.29414,45.025508,Mafic
4.265942,45.02757,Mafic
4.260054,45.030928,Mafic
4.256106,45.032536,Felsic
4.267415,45.034947,Felsic
4.253028,45.042796,Mafic
4.261928,45.044924,Mafic
4.280409,45.039042,Mafic
4.266109,45.059628,Mafic
4.2204,45.068731,Mafic
4.234417,45.051202,Felsic
4.214597,45.059547,Mafic
4.172597,45.074689,Mafic
4.17553,45.075696,Mafic
4.171645,45.070657,Mafic
4.171645,45.072001,Mafic
4.166016,45.06965,Mafic
4.1634,45.068474,Mafic
4.17228,45.076032,Mafic
4.175134,45.077992,Mafic
4.184172,45.079056,Mafic
4.184013,45.081687,Mafic
4.248094,45.075612,Mafic
3.95912,45.034275,Other
3.986419,44.98766,Mafic
4.020226,44.994689,Mafic
4.020498,44.993105,Mafic
4.02787,44.993988,Mafic
4.032576,44.992178,Mafic
4.088573,44.986574,Other
4.169515,44.981505,Other
4.189513,44.985957,Felsic
4.133421,44.975215,Felsic
4.311795,44.982733,Felsic
4.221803,44.960031,Other
4.210223,44.952961,Felsic
4.193953,44.945038,Other
4.181805,44.940779,Felsic
4.11407,44.945991,Other
4.144623,44.941863,Felsic
3.970699,44.924225,Other
4.098071,44.824691,Other
4.183271,44.837813,Felsic
4.159175,44.844959,Felsic
4.1763,44.84657,Felsic
4.234387,44.82752,Felsic
4.220181,44.844175,Felsic
4.229805,44.833321,Felsic
4.275315,44.837364,Felsic
4.268752,44.827351,Felsic
4.291675,44.845217,Other
4.280145,44.867304,Other
4.284819,44.868826,Felsic
4.221444,44.873286,Felsic
4.199215,44.872964,Felsic
4.208061,44.869535,Mafic
4.228626,44.88009,Felsic
4.179442,44.89275,Felsic
4.192503,44.887677,Felsic
4.175415,44.878989,Felsic
4.217571,44.891642,Felsic
4.22334,44.893925,Felsic
4.25466,44.886208,Felsic
4.211396,44.900632,Felsic
4.234923,44.897026,Felsic
4.233678,44.898949,Felsic
4.253789,44.896225,Other
4.197574,44.90342,Felsic
4.165421,44.895217,Felsic
4.250082,44.903275,Felsic
4.190968,44.910925,Felsic
4.153171,44.917531,Felsic
4.188624,44.92698,Felsic
3.975021,44.970959,Mafic
4.014213,44.961908,Mafic
4.015235,44.96391,Mafic
4.021603,44.961963,Mafic
4.023332,44.963465,Mafic
4.019087,44.959126,Mafic
4.04047,44.963298,Mafic
4.043489,44.963042,Mafic
4.046319,44.965879,Mafic
3.970025,44.997612,Mafic
4.153409,44.987839,Mafic
4.17715,44.995845,Mafic
4.134294,44.960201,Felsic
4.038696,44.930619,Other
4.300714,44.929295,Mafic
4.304041,44.930585,Mafic
4.304912,44.93266,Mafic
4.308525,44.915473,Felsic
4.293651,44.902008,Felsic
4.27517,44.902637,Felsic
4.284489,44.904491,Felsic
4.218935,44.917418,Felsic
4.228398,44.912993,Felsic
4.158122,44.900127,Other
4.138583,44.898581,Felsic
4.094122,44.915512,Felsic
4.059344,44.919708,Other
4.040649,44.903271,Mafic
4.043233,44.91189,Mafic
4.012642,44.901617,Mafic
4.000555,44.9064,Mafic
3.968813,44.913696,Mafic
4.007548,44.88867,Mafic
4.006786,44.876692,Mafic
4.003104,44.862076,Mafic
3.963468,44.857195,Mafic
4.0112,44.847456,Mafic
3.986133,44.848985,Mafic
4.004065,44.845768,Mafic
4.018727,44.847838,Mafic
4.115966,44.893803,Felsic
4.173195,44.855117,Felsic
4.166159,44.859551,Felsic
4.140622,44.866556,Felsic
4.140264,44.860736,Felsic
4.13587,44.857366,Felsic
4.286964,44.879452,Felsic
3.968579,44.811291,Mafic
4.011212,44.81585,Mafic
4.003286,44.814992,Mafic
3.983278,44.803253,Mafic
3.967838,44.809331,Mafic
3.99144,44.799231,Mafic
4.070647,44.817513,Other
4.088253,44.800254,Mafic
4.080467,44.803318,Mafic
4.078459,44.805131,Mafic
4.073167,44.803491,Mafic
4.108935,44.803707,Mafic
4.193633,44.8135,Mafic
4.187855,44.801805,Mafic
4.183317,44.797373,Mafic
4.220168,44.818007,Felsic
4.274652,44.817922,Felsic
4.255671,44.812349,Felsic
4.266044,44.815207,Mafic
4.267873,44.79649,Other
4.302781,44.80419,Felsic
4.307732,44.792711,Mafic
4.287695,44.787996,Mafic
4.227549,44.795513,Mafic
4.231287,44.7934,Mafic
3.969652,44.788555,Mafic
3.970906,44.777338,Mafic
4.006543,44.771677,Mafic
4.151203,44.751074,Mafic
4.150677,44.74521,Mafic
4.146149,44.741694,Mafic
4.207371,44.765523,Mafic
4.227488,44.783844,Mafic
4.282993,44.778667,Mafic
4.283909,44.775125,Mafic
4.290181,44.773045,Mafic
4.306252,44.771159,Mafic
4.284751,44.767031,Mafic
4.191512,44.759453,Mafic
4.174771,44.742663,Other
3.992974,44.71744,Mafic
4.012357,44.70552,Mafic
4.009111,44.708822,Mafic
4.048279,44.712612,Mafic
4.215064,44.698665,Mafic
4.227094,44.679281,Mafic
4.259974,44.663001,Mafic
4.25119,44.821295,Mafic
4.308252,44.791944,Mafic
4.144953,44.737947,Mafic
4.181228,44.731924,Other
4.311836,44.753955,Other
4.307314,44.758561,Mafic
4.296939,44.75925,Mafic
4.298255,44.758468,Mafic
4.298875,44.75643,Mafic
4.29894,44.755433,Mafic
4.288561,44.776675,Mafic
4.289083,44.779129,Mafic
4.280055,44.791138,Mafic
4.297422,44.788046,Mafic
4.005048,44.757574,Mafic
3.997665,44.835441,Mafic
3.988981,44.839305,Mafic
3.975418,44.842172,Mafic
3.976441,44.843261,Mafic
3.977363,44.839486,Mafic
3.986013,44.844277,Mafic
4.022565,44.845951,Mafic
4.025022,44.8486,Mafic
4.02753,44.84254,Mafic
4.033672,44.846713,Mafic
4.039353,44.848129,Mafic
4.030089,44.839891,Mafic
4.02622,44.837045,Mafic
4.027294,44.834287,Mafic
4.058537,44.844079,Mafic
4.075376,44.840805,Mafic
3.984551,44.857949,Mafic
3.980098,44.858203,Mafic
3.975389,44.860489,Mafic
3.982862,44.85345,Mafic
3.981122,44.851817,Mafic
3.998619,44.875638,Mafic
3.98891,44.871648,Mafic
3.972065,44.875573,Mafic
3.957874,44.877771,Mafic
3.958806,44.870389,Mafic
4.28777,44.83834,Felsic
4.260484,44.842431,Felsic
4.247744,44.849883,Felsic
4.248691,44.85086,Felsic
4.257991,44.841316,Felsic
4.275736,44.849689,Felsic
4.235327,44.844256,Felsic
4.309202,44.846157,Felsic
4.303661,44.849724,Felsic
4.290788,44.853002,Felsic
4.302696,44.855643,Felsic
4.286664,44.855266,Felsic
4.272188,44.860896,Felsic
4.273053,44.859151,Felsic
4.280836,44.859057,Felsic
4.260421,44.861121,Felsic
4.261485,44.863667,Felsic
4.263814,44.863243,Felsic
4.258558,44.866968,Felsic
4.255365,44.868806,Felsic
4.260687,44.869136,Felsic
4.294535,44.855434,Felsic
4.260363,44.88155,Felsic
4.252913,44.882163,Felsic
4.247258,44.883106,Felsic
4.246194,44.884426,Felsic
4.197121,44.867815,Felsic
4.228521,44.866872,Felsic
4.233909,44.866777,Felsic
4.237568,44.875886,Felsic
4.235373,44.877819,Felsic
4.239431,44.881401,Felsic
4.199348,44.860407,Felsic
4.211921,44.860501,Felsic
4.211588,44.866489,Felsic
4.218068,44.859973,Felsic
4.228796,44.845091,Felsic
4.214559,44.849713,Felsic
4.218484,44.857872,Felsic
4.224272,44.857259,Felsic
4.227864,44.855891,Felsic
4.234716,44.853486,Felsic
4.244762,44.856504,Mafic
4.305762,44.865141,Mafic
4.290983,44.865819,Mafic
4.28695,44.862103,Mafic
4.284853,44.863704,Mafic
4.28466,44.86479,Mafic
4.182412,44.874089,Felsic
4.182896,44.879462,Felsic
4.186929,44.879004,Felsic
4.190398,44.878204,Felsic
4.193059,44.876547,Mafic
4.158441,44.890846,Felsic
4.16207,44.890846,Felsic
4.166184,44.889474,Felsic
4.167878,44.892617,Felsic
4.169088,44.892731,Felsic
4.174814,44.885645,Felsic
4.172879,44.88616,Felsic
4.17433,44.886388,Felsic
4.174411,44.88456,Felsic
